EJECUCIÓN DE GASTOS ALCALDÍA MUNICIPAL CHIQUIZA Del 01/01/2025 Al 30/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,CÓDIGO,DESCRIPCIÓN,ULT. NIVEL,FUENTE,DESCRIPCIÓN FTE.,FTE LEY 715,UNIDAD,SECTOR,PROGRAMA,PRODUCTO,DEPENDENCIA,BPIN,PTO. INICIAL,ADICIÓN,REDUCCIÓN,CRÉDITO,CONTRACRÉDITO,PTO. DEFINITIVO,DISPONIBILIDAD,CANCEL. C.D.P.,REGISTRO,CANCEL. C.R.P.,OBLIGACIONES,CANCEL. O.,PAGOS,SALDO DE APROPIACIÓN,SALDO DISPONIBLE,SALDO COMPROMISOS,SALDO OBLIGACIONES
4077,2,GASTOS, No ,NA,N/A,,NA,,,,,,"14,430,365,174.00","4,196,873,659.15",0.00,"854,415,456.17","854,415,456.17","18,627,238,833.15","14,911,682,003.34","230,293,070.02","12,386,995,889.03","28,565,175.76","9,795,836,343.09","2,234,972.00","9,781,497,543.09","3,715,556,829.81","2,524,686,114.31","2,591,159,545.94","14,338,800.00"
4078,2.1,FUNCIONAMIENTO, No ,NA,N/A,,NA,,,,,,"1,801,426,072.00","141,535,901.81",0.00,"98,760,506.67","68,760,506.67","1,972,961,973.81","1,375,823,195.07","15,965,080.37","1,374,523,194.74","1,146,351.50","1,287,753,091.86","1,567,999.31","1,273,414,291.86","597,138,778.74","1,300,000.33","86,770,102.88","14,338,800.00"
4079,2.1.1,GASTOS DE PERSONAL, No ,NA,N/A,,NA,,,,,,"1,292,848,920.70","29,871,526.81",0.00,"75,531,366.67","30,702,349.67","1,367,549,464.51","925,599,912.22","1,142,848.25","925,599,911.89","1,142,848.25","925,174,760.83","1,567,999.31","910,835,960.83","441,949,552.29",0.33,"425,151.06","14,338,800.00"
4080,2.1.1.01,PLANTA DE PERSONAL PERMANENTE, No ,NA,N/A,,NA,,,,,,"1,292,848,920.70","29,871,526.81",0.00,"75,531,366.67","30,702,349.67","1,367,549,464.51","925,599,912.22","1,142,848.25","925,599,911.89","1,142,848.25","925,174,760.83","1,567,999.31","910,835,960.83","441,949,552.29",0.33,"425,151.06","14,338,800.00"
4081,2.1.1.01.01,FACTORES CONSTITUTIVOS DE SALARIO, No ,NA,N/A,,NA,,,,,,"737,953,426.72","28,398,192.81",0.00,"11,378,727.67","22,801,339.00","754,929,008.20","519,691,402.69","1,109,199.31","519,691,402.69","1,109,199.31","519,691,402.69","1,109,199.31","519,691,402.69","235,237,605.51",0.00,0.00,0.00
4082,2.1.1.01.01.001,FACTORES SALARIALES COMUNES, No ,NA,N/A,,NA,,,,,,"737,953,426.72","28,398,192.81",0.00,"11,378,727.67","22,801,339.00","754,929,008.20","519,691,402.69","1,109,199.31","519,691,402.69","1,109,199.31","519,691,402.69","1,109,199.31","519,691,402.69","235,237,605.51",0.00,0.00,0.00
4083,2.1.1.01.01.001.01,SUELDO BÁSICO, No ,NA,N/A,,NA,,,,,,"553,501,076.08","28,398,192.81",0.00,"100,000.00","22,801,339.00","559,197,929.89","408,093,719.73","1,087,486.27","408,093,719.73","1,087,486.27","408,093,719.73","1,087,486.27","408,093,719.73","151,104,210.16",0.00,0.00,0.00
4083,2.1.1.01.01.001.01.01,Sueldo Básico - DEP: ADMINISTRACIÓN CENTRAL, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,16. ADMINISTRACIÓN CENTRAL,,"389,593,974.00","27,358,192.81",0.00,0.00,"22,801,339.00","394,150,827.81","285,795,551.67","793,493.33","285,795,551.67","793,493.33","285,795,551.67","793,493.33","285,795,551.67","108,355,276.14",0.00,0.00,0.00
4084,2.1.1.01.01.001.01.02,Sueldo Básico - DEP: CONCEJO, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,18. CONCEJO,,"17,004,000.00",0.00,0.00,"100,000.00",0.00,"17,104,000.00","12,811,500.00",0.00,"12,811,500.00",0.00,"12,811,500.00",0.00,"12,811,500.00","4,292,500.00",0.00,0.00,0.00
4085,2.1.1.01.01.001.01.03,Sueldo Básico - DEP: PERSONERIA, Si ,1.2.4.3.04,"SGP-PROPOSITO GENERAL-LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6", ,U1,,, ,20. PERSONERIA,,"99,681,712.08","1,040,000.00",0.00,0.00,0.00,"100,721,712.08","73,157,717.56","231,796.44","73,157,717.56","231,796.44","73,157,717.56","231,796.44","73,157,717.56","27,563,994.52",0.00,0.00,0.00
